class,RN_gray_drift,RN_gray_norm,VT_gray_drift,VT_gray_norm
airplane,1.30586576461792,0.34744012649657613,2.860990047454834,0.7247756578879846
automobile,5.661404132843018,0.41150344604539973,3.275280237197876,0.9712196994419211
bird,0.2545573115348816,0.1789503403880993,3.5780069828033447,0.80748559421235
cat,0.7424107789993286,0.20523281262345763,0.9758654236793518,0.2647056676481077
deer,0.2587454915046692,0.23780505156259135,1.6973590850830078,0.4663438362801258
dog,2.8307600021362305,0.30534946116512834,1.6136996746063232,0.4934255566539292
frog,3.074143886566162,0.7591359631202859,2.5423901081085205,0.7348941732666524
horse,1.1843483448028564,0.4209780489908215,1.5879101753234863,0.43508769472600917
ship,13.354033470153809,0.6912345763802572,3.063436985015869,0.9616244847917784
truck,0.823884129524231,0.40303956030917737,2.7615883350372314,0.8982378119275373
