dx,dy,ResNet_acc,ResNet_cons,ViT_acc,ViT_cons
0,0,0.11,1.0,0.942,1.0
4,0,0.106,0.962,0.93,0.967
8,0,0.105,0.957,0.931,0.957
12,0,0.104,0.946,0.933,0.958
16,0,0.107,0.946,0.936,0.974
20,0,0.105,0.94,0.927,0.953
24,0,0.108,0.944,0.926,0.949
28,0,0.108,0.945,0.92,0.942
32,0,0.108,0.942,0.912,0.942
0,4,0.11,0.956,0.937,0.973
4,4,0.108,0.947,0.93,0.961
8,4,0.11,0.946,0.929,0.953
12,4,0.108,0.94,0.939,0.956
16,4,0.11,0.928,0.935,0.956
20,4,0.11,0.928,0.921,0.934
24,4,0.111,0.925,0.923,0.94
28,4,0.115,0.925,0.92,0.935
32,4,0.108,0.926,0.914,0.925
0,8,0.109,0.953,0.938,0.954
4,8,0.104,0.949,0.934,0.954
8,8,0.108,0.944,0.94,0.957
12,8,0.108,0.936,0.934,0.951
16,8,0.106,0.927,0.937,0.949
20,8,0.106,0.933,0.926,0.947
24,8,0.107,0.928,0.924,0.939
28,8,0.106,0.923,0.921,0.932
32,8,0.105,0.926,0.916,0.927
0,12,0.106,0.942,0.942,0.963
4,12,0.107,0.941,0.934,0.956
8,12,0.106,0.933,0.94,0.948
12,12,0.106,0.93,0.938,0.949
16,12,0.108,0.928,0.939,0.952
20,12,0.106,0.917,0.925,0.941
24,12,0.108,0.922,0.926,0.936
28,12,0.108,0.911,0.922,0.935
32,12,0.108,0.914,0.911,0.923
0,16,0.106,0.936,0.929,0.967
4,16,0.106,0.93,0.927,0.954
8,16,0.107,0.927,0.921,0.942
12,16,0.107,0.922,0.929,0.951
16,16,0.107,0.913,0.928,0.955
20,16,0.105,0.91,0.919,0.94
24,16,0.107,0.911,0.909,0.934
28,16,0.105,0.916,0.915,0.933
32,16,0.109,0.916,0.9,0.93
0,20,0.113,0.914,0.931,0.95
4,20,0.107,0.911,0.92,0.94
8,20,0.107,0.917,0.923,0.941
12,20,0.109,0.907,0.918,0.934
16,20,0.113,0.901,0.913,0.941
20,20,0.113,0.9,0.908,0.929
24,20,0.11,0.905,0.909,0.931
28,20,0.106,0.902,0.907,0.919
32,20,0.108,0.901,0.898,0.912
0,24,0.111,0.91,0.927,0.935
4,24,0.103,0.909,0.916,0.931
8,24,0.108,0.912,0.927,0.937
12,24,0.11,0.908,0.92,0.932
16,24,0.111,0.903,0.922,0.93
20,24,0.11,0.896,0.909,0.919
24,24,0.111,0.894,0.907,0.921
28,24,0.109,0.895,0.903,0.911
32,24,0.108,0.893,0.898,0.906
0,28,0.11,0.903,0.925,0.929
4,28,0.106,0.899,0.92,0.93
8,28,0.109,0.904,0.923,0.927
12,28,0.108,0.901,0.922,0.93
16,28,0.107,0.892,0.922,0.926
20,28,0.11,0.893,0.912,0.917
24,28,0.109,0.9,0.908,0.91
28,28,0.11,0.898,0.901,0.911
32,28,0.108,0.897,0.894,0.904
0,32,0.111,0.893,0.91,0.934
4,32,0.108,0.898,0.906,0.921
8,32,0.11,0.898,0.911,0.917
12,32,0.108,0.891,0.909,0.924
16,32,0.112,0.882,0.909,0.929
20,32,0.11,0.888,0.9,0.91
24,32,0.11,0.886,0.901,0.917
28,32,0.109,0.879,0.89,0.905
32,32,0.109,0.892,0.886,0.902
